,Etablissement.de.soutenance,G̩olocalisation,lat,long
0,Paris 1,"48.8468,2.34488",48.8468,2.34488
1,"Chasseneuil-du-Poitou, Ecole nationale superieure de mecanique et d'aerotechnique","46.661,0.362013",46.661,0.362013
2,Nancy 1,"48.6962,6.17634",48.6962,6.17634
3,Lyon 2,"45.7492,4.83714",45.7492,4.83714
5,Paris 5,"48.851906,2.340105",48.851906,2.340105
6,Saint Etienne,"45.42472,4.39264",45.42472,4.39264
7,La Reunion,"-20.9019,55.4843",-20.9019,55.4843
8,Paris 8,"48.946,2.36213",48.946,2.36213
9,Nantes,"47.2097,-1.55587",47.2097,-1.55587
11,Toulouse 1,"43.60656,1.43712",43.60656,1.43712
14,Montpellier 3,"43.63279,3.86924",43.63279,3.86924
15,Amiens,"49.87584,2.26446",49.87584,2.26446
21,Brest,"48.39803,-4.5077",48.39803,-4.5077
22,Poitiers,"46.58596,0.34601",46.58596,0.34601
23,Perpignan,"42.6844,2.89854",42.6844,2.89854
24,Lille 2,"50.6314,3.07497",50.6314,3.07497
25,Strasbourg,"48.57872,7.76465",48.57872,7.76465
28,Rennes 2,"48.12064,-1.70333",48.12064,-1.70333
34,Angers,"47.478,-0.548273",47.478,-0.548273
36,Orleans,"47.85065,1.93397",47.85065,1.93397
38,Lyon 3,"45.747027,4.860547",45.747027,4.860547
39,Paris 2,"48.8468,2.34488",48.8468,2.34488
40,Corte,"42.30041,9.15324",42.30041,9.15324
44,Paris 9,"48.85464,2.33785",48.85464,2.33785
46,Rennes 1,"48.11585,-1.67298",48.11585,-1.67298
47,Universite de Lorraine,"48.6962,6.17634",48.6962,6.17634
48,Avignon,"43.95005,4.81789",43.95005,4.81789
54,Versailles-St Quentin en Yvelines,"48.79959,2.14159",48.79959,2.14159
55,Lorient,"47.74618,-3.39072",47.74618,-3.39072
63,Lille 3,"50.6314,3.07497",50.6314,3.07497
64,Toulouse 2,"43.57954,1.40235",43.57954,1.40235
79,Rouen,"49.4583,1.06895",49.4583,1.06895
130,Pau,"43.31372,-0.36509",43.31372,-0.36509
146,Artois,"50.2847,2.79112",50.2847,2.79112
163,Paris 13,"48.95793,2.34071",48.95793,2.34071
174,Valenciennes,"50.32622,3.51056",50.32622,3.51056
178,"Cachan, Ecole normale superieure","48.70997,2.1531",48.70997,2.1531
223,Tours,"47.38376,0.67367",47.38376,0.67367
251,Le Havre,"49.49647,0.12896",49.49647,0.12896
273,La Rochelle,"46.14774,-1.15504",46.14774,-1.15504
282,Le Mans,"48.0148,0.159251",48.0148,0.159251
284,Bordeaux 3,"44.8015,-0.615058",44.8015,-0.615058
318,Dijon,"47.31274,5.06637",47.31274,5.06637
392,Grenoble,"45.19159,5.76726",45.19159,5.76726
407,Mulhouse,"47.7323,7.31485",47.7323,7.31485
615,Caen,"49.18884,-0.36382",49.18884,-0.36382
762,Lille 1,"50.6314,3.07497",50.6314,3.07497
833,"Paris, Institut d'etudes politiques","48.85412,2.32842",48.85412,2.32842
834,Polynesie francaise,"-17.57685,-149.60684",-17.57685,-149.60684
1085,Bordeaux 4,"44.809966,-0.596578",44.809966,-0.596578
1534,Paris 4,"48.851304,2.340246",48.851304,2.340246
1652,Paris Sciences et Lettres,"48.85464,2.33785",48.85464,2.33785
2094,Evry-Val d'Essonne,"48.62425,2.42738",48.62425,2.42738
2402,"Paris, Ecole nationale des chartes","48.85464,2.33785",48.85464,2.33785
2423,Paris 10,"48.90245,2.21238",48.90245,2.21238
2634,Toulon,"43.1369,6.01684",43.1369,6.01684
2705,"Paris, INALCO","48.8274,2.37608",48.8274,2.37608
2811,Limoges,"45.8263,1.25917",45.8263,1.25917
3011,Montpellier 1,"43.61583,3.87203",43.61583,3.87203
3015,Montpellier,"43.61583,3.87203",43.61583,3.87203
3041,Cergy-Pontoise,"49.03889,2.07415",49.03889,2.07415
3043,Cergy Pontoise,"49.03889,2.07415",49.03889,2.07415
3085,Toulouse 3,"43.56287,1.46597",43.56287,1.46597
3086,Lyon 1,"45.77962,4.86518",45.77962,4.86518
3099,Nice,"43.71693,7.26664",43.71693,7.26664
3104,Nancy 2,"48.6962,6.17634",48.6962,6.17634
3114,Paris 6,"48.851304,2.340246",48.851304,2.340246
3148,Grenoble 1,"45.19159,5.76726",45.19159,5.76726
3165,Montpellier 2,"43.61583,3.87203",43.61583,3.87203
3196,Compiegne,"49.40024,2.800108",49.40024,2.800108
3225,"Vandoeuvre-les-Nancy, INPL","48.6962,6.17634",48.6962,6.17634
3229,Universite Paris-Est Creteil Val de Marne (UPEC),"48.78852,2.4437",48.78852,2.4437
3231,Paris 11,"48.70997,2.1531",48.70997,2.1531
3238,Besancon,"47.2408,6.02265",47.2408,6.02265
3258,"Paris, ENMP","48.7132,2.19972",48.7132,2.19972
3294,Paris Est,"48.83915,2.58747",48.83915,2.58747
3671,"Palaiseau, Ecole polytechnique","48.71317,2.21022",48.71317,2.21022
3890,"Rouen, INSA","49.3852,1.06839",49.3852,1.06839
4273,Aix-Marseille,"43.2935,5.35781",43.2935,5.35781
5506,Ecole nationale des Mines d'Albi-Carmaux,"48.7132,2.19972",48.7132,2.19972
5623,Aix Marseille 2,"43.2935,5.35781",43.2935,5.35781
5651,"Rennes, INSA","48.1216,-1.63297",48.1216,-1.63297
5957,Bordeaux,"44.809966,-0.596578",44.809966,-0.596578
6351,Metz,"48.6962,6.17634",48.6962,6.17634
6518,"Toulouse, INPT","43.56287,1.46597",43.56287,1.46597
6554,Paris 7,"48.851906,2.340105",48.851906,2.340105
6626,"Nantes, Ecole nationale veterinaire","47.28764,-1.51939",47.28764,-1.51939
7458,Paris Saclay,"48.70997,2.1531",48.70997,2.1531
7843,Saint-Etienne,"45.42472,4.39264",45.42472,4.39264
7947,"Paris, CNAM","48.867,2.35463",48.867,2.35463
7955,Bordeaux 2,"44.809966,-0.596578",44.809966,-0.596578
8044,"Lyon, INSA","45.783,4.87798",45.783,4.87798
8045,Lyon,"48.57872,7.76465",48.57872,7.76465
8670,Nouvelle Caledonie,"-22.26356,166.40405",-22.26356,166.40405
8680,Aix-Marseille 3,"43.2935,5.35781",43.2935,5.35781
8793,Universite Toulouse 1 Capitole,"43.60656,1.43712",43.60656,1.43712
8836,Clermont-Ferrand 1,"45.77056,3.08791",45.77056,3.08791
9212,Universite de Rennes 1,"48.11585,-1.67298",48.11585,-1.67298
10398,Aix-Marseille 1,"43.2935,5.35781",43.2935,5.35781
10644,Aix-Marseille 2,"43.2935,5.35781",43.2935,5.35781
10691,"Rennes, Ecole nationale superieure de chimie","48.11798,-1.6341",48.11798,-1.6341
10956,"Paris, Ecole normale superieure","48.85464,2.33785",48.85464,2.33785
11055,Ecole centrale de Lille,"50.60648,3.13757",50.60648,3.13757
11111,Universite Savoie Mont Blanc,"45.56676,5.9175",45.56676,5.9175
11112,Universite Louis Pasteur (Strasbourg),"48.57872,7.76465",48.57872,7.76465
11145,Universite Marc Bloch (Strasbourg),"48.57872,7.76465",48.57872,7.76465
11529,"Ecully, Ecole centrale de Lyon","45.78299,4.76927",45.78299,4.76927
11557,"Saint-Etienne, EMSE","48.7132,2.19972",48.7132,2.19972
11642,Paris 3,"48.8489,2.34313",48.8489,2.34313
11646,Clermont Auvergne,"45.77056,3.08791",45.77056,3.08791
11751,Bordeaux 1,"44.809966,-0.596578",44.809966,-0.596578
11808,"Evry, Institut national des telecommunications","48.7132,2.19972",48.7132,2.19972
11843,Clermont-Ferrand 2,"45.77056,3.08791",45.77056,3.08791
12001,"Chatenay-Malabry, Ecole centrale de Paris","48.70997,2.1531",48.70997,2.1531
12200,"Lyon, Ecole normale superieure","45.7337,4.83376",45.7337,4.83376
12273,"Montpellier, Ecole nationale superieure de chimie","43.63508,3.86542",43.63508,3.86542
12400,Belfort-Montbeliard,"47.5871,6.86586",47.5871,6.86586
13071,"Toulouse, INSA","43.56287,1.46597",43.56287,1.46597
13193,Bourgogne Franche-Comte,"47.31274,5.06637",47.31274,5.06637
14910,Supelec,"48.70997,2.1531",48.70997,2.1531
15050,Strasbourg 2,"48.57872,7.76465",48.57872,7.76465
21945,"Cergy-Pontoise, Ecole superieure des sciences economiques et commerciales","49.03397,2.078427",49.03397,2.078427
25114,Telecom Bretagne,"48.7132,2.19972",48.7132,2.19972
25242,Ecole nationale superieure Mines-Telecom Atlantique Bretagne Pays de la Loire,"48.7132,2.19972",48.7132,2.19972
25859,Strasbourg 1,"48.57872,7.76465",48.57872,7.76465
26403,Universite de Recherche Paris Sciences et Lettres - PSL Research University,"48.85464,2.33785",48.85464,2.33785
27997,"Toulouse, ISAE","43.56287,1.46597",43.56287,1.46597
28502,"Paris, Museum national d'histoire naturelle","48.84202,2.35616",48.84202,2.35616
28858,"Paris, Inalco","48.8274,2.37608",48.8274,2.37608
29073,Ecole centrale de Nantes,"47.2491,-1.54786",47.2491,-1.54786
29652,Ecole Centrale de Nantes,"47.2491,-1.54786",47.2491,-1.54786
30885,"Paris, ENST","48.7132,2.19972",48.7132,2.19972
31376,Institut de physique du globe (Paris),"49.3852,1.06839",49.3852,1.06839
31591,Troyes,"48.2697,4.0725",48.2697,4.0725
31703,"Nantes, Ecole des Mines","48.7132,2.19972",48.7132,2.19972
32486,Ecole centrale de Marseille,"43.34136,5.43829",43.34136,5.43829
32593,Nimes,"43.84274,4.35685",43.84274,4.35685
33136,"Bourges, INSA Centre Val de Loire","47.082183,2.416245",47.082183,2.416245
40160,Sorbonne universite,"48.851304,2.340246",48.851304,2.340246
41698,Guyane,"4.93174,-52.30102",4.93174,-52.30102
44846,"Paris, ENSAM","48.83357,2.35831",48.83357,2.35831
52629,Universite Robert Schuman (Strasbourg),"48.57872,7.76465",48.57872,7.76465
54843,Paris 12,"48.78852,2.4437",48.78852,2.4437
54945,Universite Pierre Mendes France (Grenoble),"45.19159,5.76726",45.19159,5.76726
54969,Universite Stendhal (Grenoble),"45.19159,5.76726",45.19159,5.76726
54993,Universite de Marne-la-Vallee,"48.6962,6.17634",48.6962,6.17634
56896,Universite Nancy 2,"48.6962,6.17634",48.6962,6.17634
56946,"Rennes, Ecole normale superieure","48.04516,-1.74581",48.04516,-1.74581
59900,ENSMP,"48.7132,2.19972",48.7132,2.19972
62005,Versailles-St Quentin-en-Yvelines,"48.79959,2.14159",48.79959,2.14159
69668,TOULOUSE 3,"43.56287,1.46597",43.56287,1.46597
70002,dijon,"47.31274,5.06637",47.31274,5.06637
72289,clermont ferrand 1,"45.77056,3.08791",45.77056,3.08791
74603,Paris,"48.851906,2.340105",48.851906,2.340105
76256,Ecole nationale superieure Mines-Telecom Lille Douai,"48.7132,2.19972",48.7132,2.19972
78560,IMT Mines Ales,"48.7132,2.19972",48.7132,2.19972
82872,"Marne-la-vallee, ENPC","48.8411,2.58822",48.8411,2.58822
86335,paris 8,"48.946,2.36213",48.946,2.36213
86588,SAINT ETIENNE,"45.42472,4.39264",45.42472,4.39264
87472,INSA de Rouen,"49.3852,1.06839",49.3852,1.06839
87862,bordeaux 1,"44.809966,-0.596578",44.809966,-0.596578
91623,INSA ROUEN,"49.3852,1.06839",49.3852,1.06839
93674,"Evry, Institut National des Telecommunications","48.7132,2.19972",48.7132,2.19972
93818,"Palaiseau, Institut d'optique theorique et appliquee","48.70997,2.1531",48.70997,2.1531
98357,Clermont 1,"45.77056,3.08791",45.77056,3.08791
98405,"Chasseneuil-du-Poitou, Ecole nationale superieure de mecanique et d'aeronautique","46.661,0.362013",46.661,0.362013
102345,Aix-marseille,"43.2935,5.35781",43.2935,5.35781
102491,LYON 3,"45.747027,4.860547",45.747027,4.860547
103947,Paris INALCO,"48.8274,2.37608",48.8274,2.37608
112026,Cote d'Azur,"43.71693,7.26664",43.71693,7.26664
114868,Universite de Tours. UFR de medecine,"47.38376,0.67367",47.38376,0.67367
115421,CentraleSupelec,"48.70997,2.1531",48.70997,2.1531
116327,Grenoble Alpes,"45.19159,5.76726",45.19159,5.76726
124645,Chambery,"45.56676,5.9175",45.56676,5.9175
132166,Ecole Centrale de Lille,"50.60648,3.13757",50.60648,3.13757
140092,Universite de Paris (2019-....),"48.851906,2.340105",48.851906,2.340105
148016,"Brest, Ecole nationale superieure de techniques avancees Bretagne","48.418823,-4.472605",48.418823,-4.472605
155883,"Rennes 1,","48.11585,-1.67298",48.11585,-1.67298
156335,"Paris, Telecom ParisTech","48.7132,2.19972",48.7132,2.19972
168824,Ecole nationale des ponts et chaussees (France),"48.8411,2.58822",48.8411,2.58822
184082,Institut polytechnique de Paris,"48.71317,2.21022",48.71317,2.21022
184139,Universite Paris-Saclay (ComUE),"48.70997,2.1531",48.70997,2.1531
188503,Grenoble 2,"45.19159,5.76726",45.19159,5.76726
193655,Observatoire de Paris,"48.85464,2.33785",48.85464,2.33785
204074,Strasbourg 3,"48.57872,7.76465",48.57872,7.76465
208726,lyon 3,"45.747027,4.860547",45.747027,4.860547
212047,LYON 1,"45.77962,4.86518",45.77962,4.86518
215670,PARIS 13,"48.95793,2.34071",48.95793,2.34071
216914,Grenoble 3,"45.19159,5.76726",45.19159,5.76726
219762,"Lyon, Ecole normale superieure (sciences)","45.7337,4.83376",45.7337,4.83376
230759,ORLEANS,"47.85065,1.93397",47.85065,1.93397
234237,"Institut d'urbanisme de Paris (Creteil, Val-de-Marne)","48.78852,2.4437",48.78852,2.4437
234254,Universite de Poitiers. Departement de geographie,"46.58596,0.34601",46.58596,0.34601
240437,"Paris, Institut de physique du globe","48.851906,2.340105",48.851906,2.340105
254488,nice,"43.71693,7.26664",43.71693,7.26664
256481,"Lyon 1,","45.77962,4.86518",45.77962,4.86518
262541,Marne-la-Vallee,"48.83915,2.58747",48.83915,2.58747
267765,NICE,"43.71693,7.26664",43.71693,7.26664
